Dates,3M Company (NYSE:MMM) - Share Pricing
Dec-01-2016,172.63
Dec-02-2016,172.43
Dec-05-2016,171.62
Dec-06-2016,171.80
Dec-07-2016,176.05
Dec-08-2016,175.88
Dec-09-2016,178.49
Dec-12-2016,179.64
Dec-13-2016,178.83
Dec-14-2016,176.60
Dec-15-2016,176.02
Dec-16-2016,177.45
Dec-19-2016,178.16
Dec-20-2016,178.65
Dec-21-2016,178.43
Dec-22-2016,179.20
Dec-23-2016,178.75
Dec-27-2016,178.92
Dec-28-2016,178.08
Dec-29-2016,178.41
Dec-30-2016,178.57
